"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type"
2.57306533977016e-24,-0.610139675502254,0.162,0.22,5.97671617121813e-20,"Ecel1","Neuron"
2.60106074879573e-24,-0.339490797084778,0.271,0.342,6.04174390730272e-20,"Sf3b6","Neuron"
2.63355651818173e-24,-0.663312429507062,0.09,0.137,6.11722508043253e-20,"Nadk2","Neuron"
2.64752754597438e-24,0.662761112626494,0.197,0.142,6.14967698378928e-20,"Psenen","Neuron"
2.64761430402795e-24,-0.461682801935042,0.143,0.2,6.14987850539612e-20,"Cbll1","Neuron"
2.75498324143598e-24,-0.705325731575096,0.061,0.103,6.39927507320749e-20,"Rbm15","Neuron"
2.90585834855174e-24,-0.648002500839495,0.067,0.11,6.74972777201598e-20,"Ttll3","Neuron"
3.01969751476988e-24,-0.475543440953224,0.134,0.191,7.01415338730748e-20,"Med24","Neuron"
3.06395738941124e-24,-0.336945782665303,0.255,0.327,7.11696022412443e-20,"Wdr78","Neuron"
3.07454435270037e-24,-0.310470677353442,0.33,0.403,7.14155162245241e-20,"Washc4","Neuron"
3.07733579449866e-24,-0.290577471218926,0.338,0.412,7.14803558346148e-20,"Zswim8","Neuron"
3.17184537185524e-24,-0.348104140735021,0.238,0.308,7.36756242974536e-20,"Trim3","Neuron"
3.31678430410986e-24,-0.665140902030396,0.077,0.122,7.70422658158639e-20,"Zfp763","Neuron"
3.5366513367334e-24,0.333533771801895,0.542,0.491,8.21493372496434e-20,"Fam171b","Neuron"
3.54474645462197e-24,-0.498767785812876,0.095,0.145,8.2337370647959e-20,"Ctdsp2","Neuron"
3.86315798956959e-24,-0.36167456393539,0.246,0.315,8.97334337817224e-20,"Strn4","Neuron"
3.89426765507602e-24,-0.400439318173061,0.219,0.286,9.04560490921057e-20,"Taf2","Neuron"
3.97791583143812e-24,0.764210956481623,0.158,0.108,9.23990289326446e-20,"Bri3bp","Neuron"
4.17326145505347e-24,-0.300839101898542,0.295,0.369,9.69365170779821e-20,"N4bp1","Neuron"
4.55184961172321e-24,-0.689339495624587,0.063,0.105,1.05730362781107e-19,"Commd6","Neuron"
4.65669323002938e-24,0.701150210872161,0.204,0.15,1.08165670347123e-19,"Pigt","Neuron"
4.68176974332233e-24,-0.350502245021978,0.222,0.289,1.08748147597891e-19,"Tcp1","Neuron"
4.72353266951216e-24,-0.330904676727236,0.171,0.234,1.09718216847428e-19,"Kif21b","Neuron"
4.73074098356142e-24,-0.560595909140977,0.112,0.165,1.09885651566165e-19,"A330032B11Rik","Neuron"
4.9367463218015e-24,-0.605763457709885,0.078,0.123,1.14670743562805e-19,"Acadm","Neuron"
5.24814155145416e-24,-0.399116829910461,0.194,0.258,1.21903831957177e-19,"Npc1","Neuron"
